1961,Above And Beyond (The Call Of Love),Country/Bluegrass,Howard| Harlan; REC: Conway Twitty; George Hamilton IV; Sonny James; Rodney Crowell
1939,AC/DC Current,Jazz,Christian| C.| Goodman| B.| & Hampton| L.; REC: Charlie Christian; Benny Goodman; Roberto Columbo
1975,Acadian Driftwood,Folk/Roots,Robertson| Robbie; REC: The Band
1944,Ac-Cent-Tchu-Ate The Positive,Swing,Arlen| H.| & Mercer| J.; REC: Bing Crosby & the Andrews Sisters; Ella Fitzgerald; Frank Sinatra
1993,Accident In Paradise, An,Dance/Electronica,Vath| S.| & Hildenbeutel| R.; REC: Sven Vath
1980,Ace Of Spades,Rock/Pop,Lemmy| Clarke| E.| & Taylor| P.; REC: Motorhead
1986,Acid Tracks,Dance/Electronica,DJ Pierre| Herbert| & Spanky J; REC: Phuture
1991,Acperience,Dance/Electronica,Bondazo| O.| & Zenker| R.: REC: Hardfloor
1995,Acquiesce,Rock/Pop,Gallagher| Noel; REC: Oasis
1968,Across The Universe,Rock/Pop,Lennon| J.| & McCartney| P.; REC: The Beatles; Laibach
1963,Act Naturally,Country/Bluegrass,Russell| J.| & Morrison| V.; REC: Buck Owens; The Beatles; Kitty Wells
1998,Action Satisfaction,Hip-Hop,Macfadden| L.| Potsic| M.| Givens| D.| Henderson| C.| Stewart| C.| & Stuart| M.; REC: Jurassic 5
1985,Addicted To Love,R & B/Soul,Palmer| Robert; REC: Robert Palmer; Tina Turner; Ciccone Youth
1982,Adventures Of Grandmaster Flash On The Wheels Of Steel, The,Hip-Hop,Robinson| S.| Chase| J.| Glover| M.| & Jackson| G.; REC: Grandmaster Flash
1975,Africa,Reggae,Brown| Dennis; REC: Dennis Brown
1994,Afro Puffs,Hip-Hop,Lady Of Rage| The| & Dat Nigga Daz; REC: The Lady Of Rage
1940,After Hours,Blues,Hawkins| E.| & Parrish| A.; REC: Erskine Hawkins; Roy Buchanan; Muddy Waters; Woody Herman; Jimmy Smith
1969,After Hours,Rock/Pop,Reed| Lou; REC: The Velvet Underground
1965,After Midnight,Rock/Pop,Cale| J. J.; REC: Eric Clapton; J. J. Cale
1970,After The Gold Rush,Rock/Pop,Young| Neil; REC: Neil Young; The Flaming Lips; The King's Singers; Dolly Parton; Linda Ronstadt; Emmylou Harris; Prelude; Nana Mouskouri; k. d. lang
1918,After You've Gone,Blues,Creamer| H.| & Layton| T.; REC: Bessie Smith; Louis Armstrong; Joe Venuti; Eddie Lang; Wynton Marsalis
